t,i,q,dq,q_des,dq_des
0.008054,0,0.004410,0.337606,0.008165,0.942176
0.018057,0,0.008245,0.381551,0.017584,0.940962
0.028061,0,0.012847,0.518425,0.026987,0.938818
0.038060,0,0.018983,0.629205,0.036361,0.935749
0.048052,0,0.025886,0.724880,0.045691,0.931759
0.058141,0,0.033939,0.824216,0.055068,0.926799
0.068052,0,0.043143,0.998628,0.064226,0.921021
0.078057,0,0.053499,1.097962,0.073407,0.914282
0.088052,0,0.063853,1.052644,0.082508,0.906648
0.098057,0,0.074975,1.208743,0.091537,0.898110
0.108057,0,0.086096,1.133670,0.100471,0.888692
0.118058,0,0.097218,1.122683,0.109309,0.878394
0.128052,0,0.108339,1.075074,0.118032,0.867238
0.138057,0,0.118693,1.061341,0.126650,0.855213
0.148058,0,0.129048,0.980315,0.135139,0.842349
0.158058,0,0.138635,0.933623,0.143495,0.828654
0.168059,0,0.147457,0.896087,0.151710,0.814141
0.178132,0,0.156277,0.821927,0.159834,0.798710
0.188047,0,0.164331,0.772946,0.167675,0.782740
0.198131,0,0.171617,0.758754,0.175483,0.765720
0.208046,0,0.179287,0.744563,0.182989,0.748235
0.218059,0,0.186190,0.732204,0.190389,0.729842
0.228054,0,0.192709,0.626001,0.197590,0.710759
0.238059,0,0.199229,0.623254,0.204602,0.690959
0.248056,0,0.204981,0.574273,0.211408,0.670490
0.258058,0,0.211501,0.616845,0.218009,0.649350
0.268059,0,0.218020,0.588006,0.224395,0.627571
0.278041,0,0.224156,0.631494,0.230548,0.605215
0.288058,0,0.229908,0.575647,0.236496,0.582183
0.298058,0,0.235277,0.595331,0.242200,0.558616
0.308059,0,0.241030,0.613183,0.247667,0.534495
0.318061,0,0.246784,0.624627,0.252890,0.509844
0.328058,0,0.252536,0.515220,0.257861,0.484700
0.338060,0,0.257522,0.490501,0.262582,0.459067
0.348072,0,0.261740,0.457084,0.267047,0.432955
0.358137,0,0.265958,0.430534,0.271271,0.406273
0.368054,0,0.270177,0.485466,0.275168,0.379585
0.378134,0,0.274395,0.375600,0.278856,0.352080
0.388052,0,0.278997,0.455711,0.282212,0.324675
0.398144,0,0.282832,0.329824,0.285347,0.296464
0.408069,0,0.285517,0.274891,0.288150,0.268428
0.418074,0,0.287818,0.215839,0.290693,0.239903
0.428076,0,0.289735,0.161821,0.292949,0.211151
0.438140,0,0.290502,0.058824,0.294928,0.182010
0.448064,0,0.291269,0.024033,0.296591,0.153094
0.458130,0,0.291653,0.052872,0.297984,0.123614
0.468061,0,0.292420,0.011215,0.299066,0.094409
0.478159,0,0.292803,0.035934,0.299869,0.064619
0.488051,0,0.292803,0.027695,0.300364,0.035372
0.498132,0,0.293187,-0.015335,0.300570,0.005532
0.508064,0,0.293570,0.036392,0.300479,-0.023874
0.518058,0,0.293570,-0.064774,0.300093,-0.053439
0.528053,0,0.293187,-0.051957,0.299411,-0.082954
0.538133,0,0.293187,0.029526,0.298425,-0.112637
0.548063,0,0.293187,-0.017166,0.297162,-0.141768
0.558203,0,0.293187,-0.051042,0.295574,-0.171374
0.568084,0,0.292803,-0.067979,0.293739,-0.200054
0.578149,0,0.292420,-0.009842,0.291579,-0.229073
0.588076,0,0.291653,-0.082169,0.289164,-0.257468
0.598132,0,0.290886,-0.095446,0.286431,-0.285976
0.608075,0,0.289352,-0.145342,0.283449,-0.313884
0.618140,0,0.287434,-0.224537,0.280149,-0.341822
0.628078,0,0.285133,-0.251545,0.276616,-0.369074
0.638133,0,0.282065,-0.349508,0.272768,-0.396279
0.648068,0,0.278230,-0.415885,0.268699,-0.422771
0.658139,0,0.274012,-0.481803,0.264308,-0.449205
0.668076,0,0.269793,-0.414511,0.259716,-0.474847
0.678150,0,0.265575,-0.412222,0.254804,-0.500371
0.688075,0,0.260973,-0.546349,0.249715,-0.525026
0.698064,0,0.256755,-0.458457,0.244348,-0.549328
0.708074,0,0.251386,-0.510643,0.238730,-0.573134
0.718170,0,0.245633,-0.625544,0.232825,-0.596573
0.728074,0,0.239496,-0.640650,0.226805,-0.618983
0.738150,0,0.232976,-0.690547,0.220455,-0.641167
0.748193,0,0.226457,-0.657130,0.213908,-0.662639
0.758138,0,0.219938,-0.658961,0.207215,-0.683252
0.768075,0,0.212651,-0.736782,0.200326,-0.703181
0.778198,0,0.204981,-0.707484,0.193108,-0.722778
0.788076,0,0.197695,-0.751431,0.185877,-0.741198
0.798134,0,0.190025,-0.820096,0.178330,-0.759220
0.808034,0,0.181971,-0.779354,0.170730,-0.776218
0.818070,0,0.173918,-0.753262,0.162856,-0.792684
0.828059,0,0.165865,-0.809110,0.154860,-0.808289
0.838134,0,0.157811,-0.821927,0.146640,-0.823224
0.848039,0,0.148991,-0.834287,0.138416,-0.837103
0.858174,0,0.140552,-0.840696,0.129864,-0.850463
0.868062,0,0.132116,-0.809110,0.121393,-0.862669
0.878142,0,0.123679,-0.859922,0.112639,-0.874253
0.888071,0,0.114858,-0.932708,0.103906,-0.884808
0.898135,0,0.106038,-0.882811,0.094950,-0.894628
0.908052,0,0.096834,-0.930877,0.086034,-0.903430
0.918148,0,0.088014,-0.855345,0.076872,-0.911489
0.928075,0,0.078810,-0.908904,0.067788,-0.918520
0.938137,0,0.069606,-0.989471,0.058514,-0.924734
0.948076,0,0.060018,-0.951934,0.049295,-0.929966
0.958142,0,0.050815,-0.930419,0.039912,-0.934341
0.968045,0,0.041226,-1.016479,0.030641,-0.937733
0.978139,0,0.031638,-0.927672,0.021163,-0.940256
0.988068,0,0.022051,-0.952849,0.011819,-0.941816
0.998168,0,0.012464,-0.967956,0.002302,-0.942462
1.008041,0,0.002876,-0.948272,-0.007002,-0.942177
1.018134,0,-0.006328,-0.960631,-0.016506,-0.940949
1.028048,0,-0.015915,-0.980316,-0.025825,-0.938821
1.038149,0,-0.025503,-1.013275,-0.035293,-0.935717
1.048071,0,-0.035091,-0.980316,-0.044559,-0.931751
1.058164,0,-0.044294,-0.922179,-0.053938,-0.926787
1.068074,0,-0.053882,-0.932708,-0.063095,-0.921007
1.078074,0,-0.063469,-0.956969,-0.072272,-0.914270
1.088074,0,-0.072673,-0.936370,-0.081378,-0.906630
1.098139,0,-0.081878,-1.029755,-0.090460,-0.898037
1.108149,0,-0.091082,-0.897917,-0.099403,-0.888600
1.118136,0,-0.099902,-0.913024,-0.108227,-0.878310
1.128071,0,-0.108722,-0.809110,-0.116898,-0.867216
1.138142,0,-0.117543,-0.851683,-0.125572,-0.855108
1.148064,0,-0.126364,-0.947356,-0.133994,-0.842340
1.158152,0,-0.134417,-0.840696,-0.142422,-0.828521
1.168053,0,-0.142854,-0.793088,-0.150555,-0.814150
1.178151,0,-0.150908,-0.848477,-0.158699,-0.798680
1.188077,0,-0.159345,-0.907988,-0.166548,-0.782691
1.198141,0,-0.167014,-0.778439,-0.174340,-0.765703
1.208076,0,-0.174685,-0.749600,-0.181861,-0.748182
1.218144,0,-0.182355,-0.792173,-0.189301,-0.729682
1.228075,0,-0.190025,-0.771572,-0.196454,-0.710720
1.238141,0,-0.196928,-0.700618,-0.203508,-0.690792
1.248075,0,-0.203831,-0.691921,-0.210270,-0.670451
1.258138,0,-0.210734,-0.637904,-0.216910,-0.649178
1.268052,0,-0.217253,-0.667200,-0.223240,-0.627587
1.278133,0,-0.223773,-0.706111,-0.229453,-0.605006
1.288053,0,-0.229909,-0.628290,-0.235342,-0.582196
1.298145,0,-0.235278,-0.524834,-0.241098,-0.558408
1.308063,0,-0.241030,-0.564660,-0.246518,-0.534484
1.318142,0,-0.246016,-0.531701,-0.251780,-0.509642
1.328074,0,-0.251385,-0.538109,-0.256719,-0.484659
1.338130,0,-0.256754,-0.505608,-0.261463,-0.458886
1.348074,0,-0.261356,-0.449302,-0.265898,-0.432950
1.358134,0,-0.265574,-0.444725,-0.270119,-0.406281
1.368074,0,-0.269026,-0.343099,-0.274025,-0.379529
1.378148,0,-0.272094,-0.322500,-0.277710,-0.352042
1.388075,0,-0.275546,-0.306935,-0.281069,-0.324610
1.398138,0,-0.278614,-0.334402,-0.284195,-0.296480
1.408077,0,-0.282065,-0.333944,-0.287002,-0.268407
1.418138,0,-0.285517,-0.348592,-0.289558,-0.239720
1.428070,0,-0.288968,-0.310597,-0.291798,-0.211167
1.438148,0,-0.292036,-0.229572,-0.293779,-0.181985
1.448063,0,-0.294337,-0.157245,-0.295440,-0.153099
1.458145,0,-0.295104,-0.099108,-0.296835,-0.123570
1.468067,0,-0.295488,0.018997,-0.297916,-0.094391
1.478134,0,-0.295488,-0.027695,-0.298717,-0.064691
1.488074,0,-0.295104,0.009384,-0.299214,-0.035302
1.498141,0,-0.295104,-0.020370,-0.299420,-0.005504
1.508075,0,-0.295104,-0.058366,-0.299328,0.023906
1.518152,0,-0.295104,0.033188,-0.298937,0.053717
1.528070,0,-0.295104,-0.046464,-0.298259,0.083005
1.538140,0,-0.294721,0.014877,-0.297274,0.112657
1.548046,0,-0.294337,0.037766,-0.296014,0.141719
1.558159,0,-0.293954,0.053329,-0.294431,0.171246
1.568071,0,-0.293570,0.098650,-0.292591,0.200018
1.578143,0,-0.292420,0.133440,-0.290430,0.229055
1.588074,0,-0.291269,0.181965,-0.288014,0.257463
1.598137,0,-0.289735,0.136644,-0.285279,0.285990
1.608039,0,-0.287818,0.186085,-0.282310,0.313784
1.618142,0,-0.286284,0.155413,-0.278998,0.341827
1.628077,0,-0.284750,0.106432,-0.275466,0.369070
1.638131,0,-0.282449,0.158617,-0.271618,0.396273
1.648045,0,-0.280148,0.277179,-0.267558,0.422709
1.658140,0,-0.277080,0.338064,-0.263157,0.449209
1.668074,0,-0.273628,0.387045,-0.258567,0.474843
1.678141,0,-0.270177,0.356374,-0.253658,0.500348
1.688075,0,-0.265574,0.529870,-0.248564,0.525026
1.698142,0,-0.260589,0.551843,-0.243155,0.549515
1.708075,0,-0.254069,0.664455,-0.237579,0.573138
1.718144,0,-0.247166,0.691005,-0.231690,0.596513
1.728068,0,-0.240263,0.702907,-0.225658,0.618970
1.738168,0,-0.233361,0.747768,-0.219294,0.641205
1.748068,0,-0.226074,0.685970,-0.212840,0.662375
1.758146,0,-0.218404,0.770200,-0.206059,0.683267
1.768081,0,-0.210350,0.783475,-0.199171,0.703192
1.778139,0,-0.203064,0.744563,-0.192000,0.722667
1.788074,0,-0.195394,0.792173,-0.184728,0.741195
1.798149,0,-0.187724,0.769742,-0.177169,0.759245
1.808076,0,-0.179670,0.790799,-0.169547,0.776288
1.818150,0,-0.172001,0.791715,-0.161642,0.792812
1.828070,0,-0.163946,0.782560,-0.153700,0.808307
1.838131,0,-0.156277,0.854428,-0.145492,0.823219
1.848074,0,-0.147840,0.763333,-0.137237,0.837150
1.858137,0,-0.139786,0.723964,-0.128745,0.850416
1.868075,0,-0.131733,0.825132,-0.120232,0.862684
1.878140,0,-0.123296,0.878232,-0.111490,0.874251
1.888075,0,-0.114475,0.878232,-0.102752,0.884812
1.898136,0,-0.105654,0.896087,-0.093799,0.894629
1.908074,0,-0.096834,0.937743,-0.084863,0.903448
1.918140,0,-0.087630,0.982604,-0.075729,0.911483
1.928034,0,-0.078043,0.968871,-0.066674,0.918493
1.938161,0,-0.069222,0.909362,-0.057341,0.924748
1.948066,0,-0.059634,0.898376,-0.048154,0.929962
1.958174,0,-0.050047,0.988097,-0.038731,0.934353
1.968074,0,-0.040076,0.985808,-0.029463,0.937741
1.978144,0,-0.030872,0.886931,-0.020008,0.940257
1.988065,0,-0.020900,1.100709,-0.010671,0.941815
1.998155,0,-0.011313,1.037080,-0.001164,0.942462
2.008056,0,-0.001726,0.965667,0.008167,0.942176
2.018057,0,0.007862,1.016938,0.017584,0.940962
2.028057,0,0.017833,0.968413,0.026984,0.938819
2.038154,0,0.027036,0.924468,0.036448,0.935716
2.048054,0,0.036624,0.953307,0.045693,0.931758
2.058137,0,0.045828,0.870908,0.055064,0.926802
2.068074,0,0.055800,0.934997,0.064246,0.921007
2.078155,0,0.064620,0.886474,0.073497,0.914211
2.088077,0,0.074208,0.940032,0.082530,0.906628
2.098134,0,0.083028,0.918517,0.091606,0.898042
2.108074,0,0.092232,0.907073,0.100487,0.888674
2.118132,0,0.101052,0.895629,0.109374,0.878314
2.128074,0,0.109873,0.913939,0.118052,0.867212
2.138140,0,0.118693,0.913939,0.126721,0.855109
2.148073,0,0.127514,0.882812,0.135152,0.842329
2.158146,0,0.135567,0.804074,0.143567,0.828531
2.168036,0,0.144004,0.779813,0.151692,0.814174
2.178135,0,0.152442,0.850309,0.159837,0.798705
2.188075,0,0.160496,0.808194,0.167696,0.782695
2.198140,0,0.168166,0.679103,0.175489,0.765705
2.208078,0,0.176219,0.774778,0.183013,0.748178
2.218158,0,0.183889,0.764249,0.190462,0.729656
2.228039,0,0.191559,0.710689,0.197579,0.710789
2.238066,0,0.198462,0.712978,0.204607,0.690945
2.248064,0,0.205365,0.688258,0.211413,0.670474
2.258145,0,0.212268,0.685512,0.218065,0.649163
2.268074,0,0.218787,0.713893,0.224404,0.627538
2.278135,0,0.225306,0.584344,0.230605,0.605003
2.288073,0,0.231059,0.582055,0.236504,0.582149
2.298146,0,0.236428,0.540857,0.242249,0.558406
2.308076,0,0.242180,0.528497,0.247676,0.534453
2.318138,0,0.247934,0.525749,0.252929,0.509652
2.328048,0,0.253303,0.410850,0.257857,0.484725
2.338132,0,0.257905,0.435112,0.262614,0.458882
2.348042,0,0.262123,0.489585,0.267034,0.433035
2.358063,0,0.265958,0.453880,0.271241,0.406469
2.368043,0,0.270177,0.426872,0.275164,0.379614
2.378135,0,0.274395,0.381551,0.278856,0.352076
2.388043,0,0.278614,0.422752,0.282209,0.324698
2.398132,0,0.282449,0.348135,0.285343,0.296497
2.408073,0,0.285517,0.258869,0.288152,0.268416
2.418171,0,0.287818,0.255665,0.290717,0.239626
2.428045,0,0.289735,0.181049,0.292943,0.211240
2.438134,0,0.290886,0.096361,0.294927,0.182027
2.448049,0,0.291653,0.117418,0.296589,0.153139
2.458140,0,0.292036,0.111467,0.297985,0.123584
2.468054,0,0.292420,0.031357,0.299066,0.094430
2.478141,0,0.293187,0.034561,0.299868,0.064672
2.488076,0,0.293187,0.004807,0.300365,0.035297
2.498144,0,0.293570,0.056992,0.300570,0.005495
2.508051,0,0.293570,-0.019455,0.300479,-0.023836
2.518137,0,0.293570,-0.106432,0.300088,-0.053674
2.528067,0,0.293570,-0.000687,0.299410,-0.082997
2.538132,0,0.293570,-0.063401,0.298425,-0.112635
2.548070,0,0.293187,-0.050126,0.297161,-0.141790
2.558166,0,0.293187,0.040970,0.295581,-0.171264
2.568042,0,0.293187,0.025406,0.293747,-0.199935
2.578136,0,0.292420,-0.019913,0.291582,-0.229036
2.588061,0,0.292036,-0.015335,0.289168,-0.257424
2.598140,0,0.291269,-0.111925,0.286429,-0.286000
2.608073,0,0.289735,-0.133898,0.283449,-0.313879
2.618138,0,0.287818,-0.211719,0.280150,-0.341817
2.628069,0,0.285517,-0.251087,0.276619,-0.369050
2.638138,0,0.282832,-0.299611,0.272766,-0.396292
2.648043,0,0.278997,-0.400778,0.268710,-0.422705
2.658145,0,0.274779,-0.453880,0.264305,-0.449220
2.668073,0,0.270177,-0.416342,0.259718,-0.474841
2.678166,0,0.265958,-0.481803,0.254796,-0.500412
2.688074,0,0.261356,-0.513848,0.249715,-0.525024
2.698166,0,0.256755,-0.530327,0.244292,-0.549572
2.708073,0,0.251386,-0.529412,0.238730,-0.573133
2.718138,0,0.245633,-0.618220,0.232844,-0.596500
2.728054,0,0.239112,-0.670862,0.226818,-0.618937
2.738133,0,0.232976,-0.684596,0.220467,-0.641129
2.748064,0,0.226457,-0.626917,0.213994,-0.662366
2.758152,0,0.219938,-0.656214,0.207206,-0.683279
2.768062,0,0.212268,-0.743649,0.200336,-0.703154
2.778137,0,0.204981,-0.733120,0.193152,-0.722664
2.788052,0,0.197695,-0.799955,0.185895,-0.741155
2.798142,0,0.190025,-0.726253,0.178325,-0.759233
2.808075,0,0.181971,-0.769741,0.170698,-0.776287
2.818135,0,0.173918,-0.882353,0.162804,-0.792788
2.828050,0,0.165865,-0.742733,0.154866,-0.808277
2.838134,0,0.157811,-0.801328,0.146640,-0.823224
2.848074,0,0.149374,-0.769283,0.138387,-0.837150
2.858132,0,0.140936,-0.864500,0.129900,-0.850409
2.868050,0,0.132116,-0.895628,0.121404,-0.862654
2.878131,0,0.123679,-0.787594,0.112648,-0.874242
2.888075,0,0.114858,-0.868162,0.103902,-0.884812
2.898064,0,0.106038,-0.920348,0.095014,-0.894562
2.908076,0,0.096834,-0.817807,0.086013,-0.903450
2.918138,0,0.087630,-0.888762,0.076881,-0.911481
2.928062,0,0.078426,-0.977112,0.067800,-0.918511
2.938058,0,0.069222,-0.924468,0.058587,-0.924689
2.948059,0,0.060018,-0.935912,0.049312,-0.929958
2.958150,0,0.050431,-0.980316,0.039904,-0.934344
2.968061,0,0.040842,-0.948730,0.030627,-0.937737
2.978138,0,0.031255,-1.012360,0.021163,-0.940256
2.988047,0,0.021667,-0.924010,0.011838,-0.941813
2.998132,0,0.012464,-1.026551,0.002335,-0.942462
3.008086,0,0.002493,-0.993591,-0.007044,-0.942174
3.018140,0,-0.006711,-0.976654,-0.016512,-0.940948
3.028166,0,-0.016299,-0.911651,-0.025936,-0.938791
3.038131,0,-0.025887,-1.003204,-0.035276,-0.935724
3.048075,0,-0.035474,-0.941405,-0.044562,-0.931749
3.058138,0,-0.044678,-0.952849,-0.053914,-0.926801
3.068045,0,-0.054265,-0.906157,-0.063069,-0.921025
3.078136,0,-0.063469,-0.973450,-0.072328,-0.914225
3.088049,0,-0.072673,-0.874113,-0.081355,-0.906650
3.098069,0,-0.081494,-0.895628,-0.090397,-0.898100
3.108158,0,-0.091082,-0.926757,-0.099411,-0.888591
3.118140,0,-0.099902,-0.870451,-0.108230,-0.878306
3.128075,0,-0.108722,-0.912566,-0.116902,-0.867212
3.138156,0,-0.117159,-0.799039,-0.125584,-0.855090
3.148035,0,-0.125980,-0.890593,-0.133969,-0.842379
3.158128,0,-0.134417,-0.829709,-0.142402,-0.828556
3.168073,0,-0.142854,-0.905699,-0.150571,-0.814120
